"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"pred[52]",862.229024780176,861.017,858.336188855274,1189.3,0.95,819.735,902.458,NA,NA,NA,NA,NA,NA,NA
"pred[53]",867.663944444444,866.5135,864.25499489335,1193.1,0.95,824.347,907.23,NA,NA,NA,NA,NA,NA,NA
"pred[54]",1830.85053157474,1830.29,1832.00089573988,471,0.95,1675.94,1995.2,NA,NA,NA,NA,NA,NA,NA
"pred[55]",1829.92508792966,1829.005,1831.10744995911,472.3,0.95,1673.43,1993.75,NA,NA,NA,NA,NA,NA,NA
"pred[56]",1828.96836131095,1827.855,1830.50649148741,473.3,0.95,1666.22,1987.7,NA,NA,NA,NA,NA,NA,NA
"pred[57]",1835.3678097522,1834.09,1837.55227254328,474.1,0.95,1673.89,1995.27,NA,NA,NA,NA,NA,NA,NA
"pred[58]",868.73787569944,867.34,861.213139003859,1174,0.95,828.91,911.543,NA,NA,NA,NA,NA,NA,NA
"pred[59]",863.901197042366,862.501,856.388267904078,1174.6,0.95,824.501,907.14,NA,NA,NA,NA,NA,NA,NA
"pred[60]",853.356766586731,852.2765,850.802570535729,1194.7,0.95,810.495,893.199,NA,NA,NA,NA,NA,NA,NA
"pred[61]",883.698320143885,882.325,875.66977600105,1177.2,0.95,844.747,927.095,NA,NA,NA,NA,NA,NA,NA
"pred[62]",893.993490007994,892.6405,886.604444466883,1175.4,0.95,854.929,938.063,NA,NA,NA,NA,NA,NA,NA
"pred[63]",908.782711830536,907.324,900.912704717953,1177.9,0.95,869.729,952.632,NA,NA,NA,NA,NA,NA,NA
"pred[64]",1883.64074740208,1882.815,1881.28853199427,468.2,0.95,1725.84,2044.68,NA,NA,NA,NA,NA,NA,NA
"pred[65]",1882.87900479616,1881.615,1880.16362256382,467.7,0.95,1723.84,2042.63,NA,NA,NA,NA,NA,NA,NA
"pred[66]",911.202089528377,910.0035,907.519726693495,1194.6,0.95,868.977,955.857,NA,NA,NA,NA,NA,NA,NA
"pred[67]",902.749727418066,901.625,898.671018109813,1188.4,0.95,861.176,947.287,NA,NA,NA,NA,NA,NA,NA
"pred[68]",886.964612310152,885.568,881.444669660719,1177.4,0.95,848.114,932.717,NA,NA,NA,NA,NA,NA,NA
"pred[69]",874.23567186251,872.8135,868.280083550594,1173.6,0.95,835.427,919.491,NA,NA,NA,NA,NA,NA,NA
"pred[70]",866.576179056755,865.1455,858.992904182563,1172.1,0.95,826.419,909.058,NA,NA,NA,NA,NA,NA,NA
"pred[71]",860.80629736211,859.565,853.705681933291,1179.2,0.95,817.146,899.889,NA,NA,NA,NA,NA,NA,NA
"pred[72]",859.810980015987,858.587,854.812386737522,1186.2,0.95,817.094,899.835,NA,NA,NA,NA,NA,NA,NA
"pred[73]",1713.29151079137,1712.475,1723.86612642564,439.4,0.95,1568.9,1876.3,NA,NA,NA,NA,NA,NA,NA
"pred[74]",1700.1654636291,1699.19,1710.89500890456,439.2,0.95,1554.47,1862.38,NA,NA,NA,NA,NA,NA,NA
"pred[75]",1698.71168265388,1698,1709.61978882939,438.9,0.95,1549.12,1857.98,NA,NA,NA,NA,NA,NA,NA
"pred[76]",1701.89972422062,1701.14,1712.75987021103,439,0.95,1552.28,1861.15,NA,NA,NA,NA,NA,NA,NA
"pred[77]",1700.60896482814,1699.9,1711.49887112543,438.9,0.95,1552.04,1861.2,NA,NA,NA,NA,NA,NA,NA
"pred[78]",2662.56669464428,2662.515,2661.47027019867,390.6,0.95,2393.86,2922.47,NA,NA,NA,NA,NA,NA,NA
"pred[79]",2665.98807354117,2665.635,2664.59884367939,390.6,0.95,2397.39,2925.22,NA,NA,NA,NA,NA,NA,NA
"pred[80]",2676.74998401279,2676.82,2675.70316784857,390.5,0.95,2403.16,2931.58,NA,NA,NA,NA,NA,NA,NA
"pred[81]",2698.38223421263,2698.99,2697.91438972942,390.5,0.95,2435.41,2962.08,NA,NA,NA,NA,NA,NA,NA
"pred[82]",1745.94896083133,1745.255,1757.40837652262,439.2,0.95,1602.2,1910.09,NA,NA,NA,NA,NA,NA,NA
"pred[83]",1756.39947641886,1755.605,1767.68130474111,439.2,0.95,1611.47,1920.09,NA,NA,NA,NA,NA,NA,NA
"pred[84]",1779.76595123901,1779.45,1790.90153373481,439.5,0.95,1623.66,1932.9,NA,NA,NA,NA,NA,NA,NA
