"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2,2,0.998415945310017,1.5,0.95,1,3,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.1158804633,0.114794,0.106767258602066,2021.9,0.95,0.0503884,0.18289,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.28692222022222,1.288815,1.30675997734287,178.9,0.95,1.06759,1.49913,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.00731756914304444,0.007283895,0.0076445303358729,3982.5,0.95,-0.000255237,0.0154292,NA,NA,NA,NA,NA,NA,NA
"beta[4]",9.78755611777778,9.77108,9.70778835266517,249.8,0.95,7.91652,11.6637,NA,NA,NA,NA,NA,NA,NA
"beta[5]",7.51889029777778,7.4917,7.27163813335062,234.9,0.95,5.82784,9.23638,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.0430793850924444,0.0426754,0.0396914731173701,2022,0.95,0.0187323,0.0679906,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",0.382683368888889,0.3832475,0.388582397033127,178.9,0.95,0.317463,0.445786,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.0225815226273778,0.0224776,0.0235904810596017,3982.5,0.95,-0.000787644,0.0476136,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",0.221447957555556,0.221075,0.219642987886995,249.8,0.95,0.179115,0.263897,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.165453267111111,0.164855,0.160013115494425,234.9,0.95,0.128242,0.203247,NA,NA,NA,NA,NA,NA,NA
"tau",735.856696666667,733.7955,740.476276494345,172.3,0.95,562.26,935.753,NA,NA,NA,NA,NA,NA,NA
"zVar",1.84729879333333,1.842125,1.85890041086961,172.3,0.95,1.4115,2.34912,NA,NA,NA,NA,NA,NA,NA
"pred[1]",32.7006113555556,32.66525,32.3727946716786,183.2,0.95,27.2253,37.7899,NA,NA,NA,NA,NA,NA,NA
"pred[2]",26.2040063555556,26.156,25.99905311742,163.1,0.95,21.9129,30.7735,NA,NA,NA,NA,NA,NA,NA
"pred[3]",38.1020119333333,38.05425,38.1969179796299,175.9,0.95,32.1021,44.3471,NA,NA,NA,NA,NA,NA,NA
"pred[4]",35.1746652888889,35.213,35.5288985814948,174.2,0.95,29.8425,41.4102,NA,NA,NA,NA,NA,NA,NA
"pred[5]",40.1399427333333,40.16745,40.5282047755442,148.7,0.95,33.8481,47.0458,NA,NA,NA,NA,NA,NA,NA
"pred[6]",31.0325068444444,31.00595,30.4975161055982,179.9,0.95,25.891,35.9544,NA,NA,NA,NA,NA,NA,NA
"pred[7]",28.7784646,28.79855,29.143210592983,167,0.95,24.2747,33.727,NA,NA,NA,NA,NA,NA,NA
"pred[8]",32.6951167777778,32.6535,32.3781518624742,183.4,0.95,27.5559,38.1092,NA,NA,NA,NA,NA,NA,NA
"pred[9]",30.1727491111111,30.19905,30.5293972636619,150.1,0.95,25.3904,35.3241,NA,NA,NA,NA,NA,NA,NA
"pred[10]",28.9267136666667,28.8354,28.1015415660634,169.9,0.95,23.8532,33.984,NA,NA,NA,NA,NA,NA,NA
