"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
0.2,9.2,0.5,14,6,0,1,0,20.5
2,9.3000001907,1.3999999762,41,3,1,6,1,22.3999996185
6.4,10.6999998093,2.7999999523,75,5,1,22,0,4
2.8,12.8999996185,2.5,58,6,0,4,0,9.6000003815
8.8,11.3,0.7,140,5,1,23,0,19.3
11,15.6,2.8,162,3,1,16,1,9
1.2,14,4.1,18,5,1,1,0,61.7
8.8,14.1,2.8,68,5,1,8,1,20.1
0,15.9,5.5,139,2,1,21,0,17.6
0,26.5,3.9,143,4,1,17,0,20.7
0,17.5,1.7999999523,105,7,0,20,0,18.6000003815
0,31.6000003815,3.2999999523,171,3,1,15,1,36.2999992371
0,22.2999992371,4.4000000954,2,7,0,23,0,5.9000000954
0,16.2999992371,2.5,168,7,0,14,0,1.2999999523
2.8,11.8,2.7,34,4,1,6,1,11.5
6.6,10.1000003815,5.3000001907,12,5,1,21,0,11.6000003815
2.8,12.5,4,9,1,1,14,0,32.6
0,20.5,3.2999999523,107,4,1,9,0,20.7000007629
8.4,8.8999996185,2.5999999046,82,2,1,21,0,21.8999996185
0,17.3999996185,4.8000001907,4,1,1,20,0,16.1000003815
0,28.6000003815,3.7000000477,154,3,1,17,0,29.7999992371
3.8,11.8000001907,2.2000000477,5,2,1,23,0,4.8000001907
4.4,19.2999992371,4,101,6,0,12,0,18.1000003815
0,19.7,4,160,7,0,9,0,10.5
0,10.8999996185,0.5,11,2,1,6,1,41.2000007629
0,32.4,4,10,2,1,11,0,84.9
2.2,7.9000000954,4.6999998093,53,2,1,18,0,5.5
0.2,13,1.8999999762,30,4,1,6,1,44.9000015259
0,11,1.9,40,5,1,4,0,6.1
0,33,6.4000000954,4,1,1,13,0,87.8000030518
0,11.3,0.4,125,1,1,18,0,33.9
0.2,37.0999984741,3.0999999046,19,2,1,19,0,39.4000015259
7.6,4.6999998093,1.2999999523,25,5,1,8,1,79.8000030518
1,6,1,64,4,1,1,0,21.8
7.4,19.3,3.8,113,6,0,12,0,6.6
7,12.8000001907,4.3000001907,8,6,0,16,1,6.6999998093
0,5.3000001907,1.3999999762,44,3,1,22,0,47.7999992371
0,11,2.7,129,7,0,19,0,18.4
0,20.7999992371,4.1999998093,152,2,1,13,0,37
0,28.9,4.3,6,1,1,13,0,37.4
0,12.4,0.7,50,7,0,4,0,61
0,27,3.4,22,1,1,17,0,33.1
0.2,4.5999999046,0.6999999881,5,4,1,7,1,59.4000015259
0,17.6,4,165,6,0,20,0,13.9
0.6,15.3999996185,2.4000000954,132,3,1,3,0,4.1999998093
0.2,9.8000001907,1.8999999762,106,1,1,4,0,13.1999998093
1.2,6.4,0.5,27,5,1,7,1,27.3
55.6,13.2,1.8,99,1,1,1,0,17.1
0.2,9.3000001907,0.3000000119,92,5,1,8,1,71.0999984741
0,20.2,4,155,6,0,23,0,46
33.6,16.6000003815,2.4000000954,118,3,1,9,0,12.3999996185
8.8,19.2,1.2,96,5,1,11,0,24.4
0.4,17.9,2.1,169,1,1,14,0,23.6
0,17.9,6,173,3,1,18,0,21.8
0,14.8,2.9,170,4,1,5,1,12.9
12.8,19.7,1.3,139,7,0,11,0,14.3
3,10.3000001907,2.5,94,7,0,4,0,8.3999996185
0,18,2.5999999046,20,6,0,19,0,10
0,12.2,4.2,143,4,1,22,0,8.9
1.2,8.1000003815,1.2999999523,55,1,1,8,1,41.5999984741
0,13.6999998093,1.2999999523,57,6,0,4,0,7.0999999046
0,28.6,4,16,5,1,7,1,56.5
11.4,9.6000003815,0.6999999881,150,3,1,22,0,13.5
0.2,17.2000007629,2.0999999046,120,7,0,5,1,15.8000001907
0.4,21.2,2.3,156,5,1,13,0,13.8
2.2,6.8,0.6,20,7,0,7,1,19.2
0,32.5,4.8,5,3,1,13,0,41
0.6,13,2.2,151,5,1,21,0,9.8
4.4,9,2.5,24,1,1,4,0,0
0,23.8,3.3,145,4,1,13,0,17.4
0,21.3,0.5,136,6,0,10,0,17.9
7.4,5.3,1,25,7,0,2,0,15.8
0,24,5.4000000954,177,3,1,15,1,26.7999992371
1,20.1,2.1,178,4,1,11,0,37.1
0,19.3999996185,1.6000000238,165,2,1,13,0,28.3999996185
0.2,21,1,85,3,1,3,0,14.8999996185
2.2,11.8,5.5,130,3,1,20,0,15.7
0,20.8,0.8,154,1,1,2,0,22.3
0,14.5,1.1,53,4,1,2,0,32.6
1.2,13.6,2.5,108,3,1,22,0,24.1
3.8,10.3999996185,1.2999999523,154,2,1,19,0,13.8000001907
0,18.7,4,164,1,1,13,0,13.9
0.2,18.5,2.2,155,4,1,22,0,9.8
7,12,3.1,44,6,0,23,0,5.1
0.8,17.4,4.1,176,7,0,4,0,11.7
0,17.3999996185,2.2000000477,128,1,1,3,0,6.8000001907
0.4,15.3,1.4,178,6,0,14,0,16.8
0,24.6000003815,3.5,169,5,1,16,1,37.0999984741
0.4,16.8999996185,0.6999999881,55,2,1,8,1,139.5
1,14.3999996185,2.0999999046,110,7,0,7,1,14.1999998093
4.4,15.3,0.5,47,2,1,10,0,20.4
0,14.7,0.7,136,5,1,22,0,5.4
4.4,11.8,2.1,7,6,0,5,1,15.7
0.8,16.1000003815,0.6000000238,17,1,1,7,1,27.7000007629
11.4,8.6000003815,1.6000000238,113,3,1,3,0,5
0,12.5,4.6,174,2,1,21,0,21
21.2,11.7,5.3,161,7,0,17,0,20
0,18.7000007629,0.8999999762,1,2,1,6,1,27.2000007629
0,12.5,5.1,24,2,1,18,0,23.3
0,21.7000007629,3.4000000954,162,3,1,18,0,24.5
1.8,18.5,3.2000000477,31,6,0,20,0,10
4,31.1,2.4,105,3,1,21,0,25.9
0.2,7,2,3,6,0,6,1,22.8
0.2,31.7999992371,2.4000000954,8,2,1,23,0,34.4000015259
0,27.5,1.4,156,7,0,17,0,35.3
0,13.1999998093,4,95,7,0,7,1,15.5
0,11,1.5,91,4,1,8,1,45.3
