"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2.5,2.5,2.00225358119027,1.5,0.95,1,4,NA,NA,NA,NA,NA,NA,NA
"beta0",598.292816766667,598.1245,595.566063818094,15990.6,0.95,563.877,631.329,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-12.9205062333333,-12.9201,-12.9264955167529,23324.6,0.95,-13.2555,-12.5802,NA,NA,NA,NA,NA,NA,NA
"beta[2]",20.6137780466667,20.6113,20.5898076660512,27727.2,0.95,19.8534,21.3305,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-5.13711643369663,-5.150535,-5.38063178050489,30000,0.95,-9.03647,-1.50919,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-0.212454036166667,-0.2124655,-0.212991851902645,30000,0.95,-0.219701,-0.20502,NA,NA,NA,NA,NA,NA,NA
"beta[5]",5.57974800746667,5.56946,5.45061021661206,27870.1,0.95,2.86258,8.28049,NA,NA,NA,NA,NA,NA,NA
"beta[6]",159.493839966667,159.428,157.708288291595,26304.2,0.95,138.613,180.263,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.0496832013736567,0.04859935,0.034657408104438,31489,0.95,-0.213179,0.313893,NA,NA,NA,NA,NA,NA,NA
"beta[8]",156.1736051,156.08,155.424209835315,26510.3,0.95,137.257,174.338,NA,NA,NA,NA,NA,NA,NA
"zbeta0",29.8705345333333,29.8621,29.7344069158199,15990.6,0.95,28.1523,31.5199,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-4.80506211833333,-4.80492,-4.80729916936659,23324.5,0.95,-4.92967,-4.67852,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",6.085157888,6.08443,6.07808241079346,27727.1,0.95,5.86106,6.2971,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.373743967266727,-0.37472,-0.391461558531137,30000,0.95,-0.657436,-0.109799,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",-0.654639116933333,-0.654674,-0.656296634786615,30000,0.95,-0.676971,-0.631732,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",0.55714515438,0.556118,0.54425321279872,27870.1,0.95,0.285833,0.826818,NA,NA,NA,NA,NA,NA,NA
"zbeta[6]",3.592576795,3.591095,3.55235371508046,26304.2,0.95,3.12218,4.06035,NA,NA,NA,NA,NA,NA,NA
"zbeta[7]",0.0168173899042457,0.0164505,0.0117314678077485,31489,0.95,-0.0721593,0.106251,NA,NA,NA,NA,NA,NA,NA
"zbeta[8]",3.42181588233333,3.41976,3.40539216283079,26510.3,0.95,3.00734,3.81981,NA,NA,NA,NA,NA,NA,NA
"tau",148811.1275,148721.5,148375.284871799,14840.4,0.95,140602,157215,NA,NA,NA,NA,NA,NA,NA
"zVar",370.9315925,370.708,369.846137410832,14840.3,0.95,350.468,391.878,NA,NA,NA,NA,NA,NA,NA
"pred[1]",1246.45757466667,1246.4,1248.94916111508,15504.8,0.95,1202.77,1287.94,NA,NA,NA,NA,NA,NA,NA
"pred[2]",1248.33318733333,1248.26,1250.88835420241,15494.7,0.95,1204.74,1289.78,NA,NA,NA,NA,NA,NA,NA
"pred[3]",1261.91291233333,1261.83,1263.707021097,15482.9,0.95,1218.32,1303.46,NA,NA,NA,NA,NA,NA,NA
"pred[4]",1263.11370066667,1263.02,1264.97844036702,15487.4,0.95,1221.49,1306.76,NA,NA,NA,NA,NA,NA,NA
"pred[5]",1254.10019066667,1254,1256.46928446134,15474.1,0.95,1210.23,1295.09,NA,NA,NA,NA,NA,NA,NA
"pred[6]",1414.16677966667,1413.93,1415.5755755231,15809.7,0.95,1365.35,1466.58,NA,NA,NA,NA,NA,NA,NA
"pred[7]",1413.46467133333,1413.24,1415.12006150362,15808.3,0.95,1364.65,1465.78,NA,NA,NA,NA,NA,NA,NA
"pred[8]",1433.61993733333,1433.4,1433.82721790471,16252.8,0.95,1382.96,1486.14,NA,NA,NA,NA,NA,NA,NA
